effect,detail,link,drugs,tfidf_score,is_top_k,e0,e1,e2
unity,felt connected to all of nature as if i was mother nature itself.,4.0,j-geraniol,0.21230927411315584,True,28.37638,41.676613,24.479797
interconnectedness,felt connected to all of nature as if i was mother nature itself.,4.0,j-geraniol,0.21230927411315584,True,51.292934,8.612387,18.083982
unity,"i felt myself be all the trees, the grass, the sun, the fungi, the plants all swaying in the gentle breeze of a beautiful day.",4.0,j-geraniol,0.21230927411315584,True,28.37638,41.676613,24.479797
interconnectedness,"i felt myself be all the trees, the grass, the sun, the fungi, the plants all swaying in the gentle breeze of a beautiful day.",4.0,j-geraniol,0.21230927411315584,True,51.292934,8.612387,18.083982
transpersonal hallucinations,i could feel and see information transferring through this system as if i was all of it.,4.0,j-geraniol,0.17242295199537638,True,28.639269,27.974123,-26.685354
hallucinatory entities,i could feel and see information transferring through this system as if i was all of it.,4.0,j-geraniol,0.1919956562243249,True,21.815058,36.96446,-27.870344
memory impairment,amanita mascaria came to me during the second or third round but i cannot remember it’s message.,4.0,j-geraniol,0.12341707305048612,True,9.630778,-29.451014,-17.960182
blackouts,amanita mascaria came to me during the second or third round but i cannot remember it’s message.,4.0,j-geraniol,0.10797535509051655,True,7.7477674,9.292379,-16.255013
hangover,ended with a feeling of exhaustion and sadness.,4.0,j-geraniol,0.12341707305048612,True,14.716427,-10.177613,29.60686
emotional lability,ended with a feeling of exhaustion and sadness.,4.0,j-geraniol,0.1919956562243249,True,29.344282,1.3252409,20.221876
sadness,ended with a feeling of exhaustion and sadness.,4.0,j-geraniol,0.24683414610097223,True,23.527119,23.610636,47.129673
beauty,perhaps a grief for seeing this beauty and understanding that in the context of the current environment it is not what it could be.,4.0,j-geraniol,0.17242295199537638,True,18.053988,24.831663,26.178812
philosophic contemplation,the inevitability of what is now and to come.,4.0,j-geraniol,0.06444759690485985,True,-18.808231,30.952873,4.2067766
gratitude,learning to find gratitude and joy at what is and not the things you wish to control.,4.0,j-geraniol,0.10797535509051655,True,11.150656,12.451345,17.627949
emotional lability,perhaps a cry is warranted too.,4.0,j-geraniol,0.1919956562243249,True,29.344282,1.3252409,20.221876
sadness,perhaps a cry is warranted too.,4.0,j-geraniol,0.24683414610097223,True,23.527119,23.610636,47.129673
cognitive effects,"""overall light. airy.""",5.0,j-star-anise,0.1599926488487902,True,29.93227,-14.741548,-23.25182
positive affect,"""overall light. airy.""",5.0,j-star-anise,0.1599926488487902,True,31.923815,-18.30112,-2.5024621
cognitive effects,"""gentle. grounded this time.""",5.0,j-star-anise,0.1599926488487902,True,30.909004,-17.187292,-25.716562
grounding,"""gentle. grounded this time.""",5.0,j-star-anise,0.09853407784928178,True,9.122567,-1.0821902,-8.358079
shakiness,"""i shook and shook after that first round.""",5.0,j-star-anise,0.2533554711191718,True,26.30024,28.180258,38.137062
internal hallucinations,"""i travelled through the trees and the earth.""",5.0,j-star-anise,0.06034551391483447,True,-13.146773,19.79107,-25.449684
tactile hallucinations,"""star anise felt like the bark of so many trees.""",5.0,j-star-anise,0.09853407784928178,True,2.8651671,16.645634,-34.333977
nature enhancement,"""star anise felt like the bark of so many trees.""",5.0,j-star-anise,0.14901661341762998,True,18.364267,-13.653286,-36.367565
memory replays,"""through water and birthing. i rebirthed my daughter and our next child.""",5.0,j-star-anise,0.06615029376709453,True,-17.635454,5.7082167,-39.189026
essence amplification,"""i became whole and ready to grow a new life inside me.""",5.0,j-star-anise,0.08848917162513859,True,-1.2105576,-7.4317904,-36.054752
personal significance,"""i became whole and ready to grow a new life inside me.""",5.0,j-star-anise,0.1266777355595859,True,24.056643,20.325586,-5.8014665
mystical experiences,"""i became whole and ready to grow a new life inside me.""",5.0,j-star-anise,0.2533554711191718,True,32.448643,26.800968,-9.34114
emotional unburdening,"""with less baggage or trauma than with the first.""",5.0,j-star-anise,0.11082804948318264,True,22.274227,-0.08382886,11.541554
philosophic contemplation,"""everything has begun and ended.""",5.0,j-star-anise,0.19845088130128358,True,32.107365,18.002766,17.23235
delusions of death,"""everything has begun and ended.""",5.0,j-star-anise,0.1266777355595859,True,16.53743,23.997889,-8.799099
unity,"""i am everything and nothing as i always was and have been.""",5.0,j-star-anise,0.29055794219494124,True,31.902412,40.61013,18.793018
interconnectedness,"""i am everything and nothing as i always was and have been.""",5.0,j-star-anise,0.29055794219494124,True,48.037857,14.388318,17.520773
love,"""full of nothing but love and light.""",5.0,j-star-anise,0.1599926488487902,True,27.440989,26.682833,26.127762
gratitude,"""thank you for sharing this gift with us.""",5.0,j-star-anise,0.11082804948318264,True,12.085773,14.602406,18.597801
ego dissolution,"""it was a complete meltdown of self this time.""",6.0,5-meo-dmt,0.1188228390960776,True,25.935833,2.1413805,-17.984808
cognitive impairments,"""it was a complete meltdown of self this time.""",6.0,5-meo-dmt,0.4619878470526773,True,40.783436,-30.942558,8.09193
time distortions,"""i didn’t know how long i was gone.""",6.0,5-meo-dmt,0.1188228390960776,True,1.8382508,48.236965,-0.6376264
auditory hallucinations,"""i could feel this melody still playing in my mind""",6.0,5-meo-dmt,0.1240057962302186,True,9.193271,24.157288,-46.648666
emotional unloading,"""it felt light and free. gentle and grounding.""",6.0,5-meo-dmt,0.013892713639329137,True,-43.027634,-8.202004,23.894407
grounding,"""it felt light and free. gentle and grounding.""",6.0,5-meo-dmt,0.004593131248523873,True,-50.142437,-15.752925,-8.203309
tactile pleasure enhancement,"""like the embrace of a mother you always knew should be hugging you.""",6.0,5-meo-dmt,0.027785427278658275,True,-15.2632675,-12.705483,-22.449121
emotional intimacy,"""like the embrace of a mother you always knew should be hugging you.""",6.0,5-meo-dmt,0.03299913193233409,True,-13.310992,-1.2707877,-17.733019
philosophic contemplation,"""i wonder if they will always dance with us or only for a while longer without revisiting them...?""",6.0,5-meo-dmt,0.05242073398923212,True,-24.826395,31.423677,4.3416553
paresthesia,"""my body set on fire completely at the beginning. from head to toe...""",7.0,5-meo-dmt,0.16087076817012871,True,-5.524275,47.690067,-23.89304
increased bodily warmth,"""my body set on fire completely at the beginning. from head to toe...""",7.0,5-meo-dmt,0.013892713639329137,True,-23.67443,-35.24473,6.238591
transpersonal hallucinations,"""as i travelled through the second and third rounds, each of my lifetimes and all of my trips stretched out and collided in a single experience.""",7.0,5-meo-dmt,0.11549696176316933,True,23.888813,20.476625,-30.179384
memory replays,"""as i travelled through the second and third rounds, each of my lifetimes and all of my trips stretched out and collided in a single experience.""",7.0,5-meo-dmt,0.04933716140163023,True,-20.18258,0.5318924,-33.12703
calmness,"""i came back feeling calm within myself...""",7.0,5-meo-dmt,0.05557085455731655,True,-12.476809,2.6392167,32.079662
fear,"""...but afraid to be vulnerable in front of others.""",7.0,5-meo-dmt,0.18598357423733883,True,8.096928,20.365412,41.182117
interpersonal bonding,"""...but afraid to be vulnerable in front of others.""",7.0,5-meo-dmt,0.05682831435029799,True,-5.283933,15.164645,4.7542872
age regression,"""i am old. older than i wanted to acknowledge...""",7.0,5-meo-dmt,0.005905037915724695,True,-51.780727,-18.710258,-11.53265
personal history effects,"""i am old. older than i wanted to acknowledge...""",7.0,5-meo-dmt,0.013892713639329137,True,-35.642994,-40.215576,-13.093738
philosophic contemplation,"""i am healing time.""",7.0,5-meo-dmt,0.05242073398923212,True,-24.826395,31.423677,4.3416553
delusions of grandeur,"""i am healing time.""",7.0,5-meo-dmt,0.027785427278658275,True,-20.704592,0.8144235,-6.7154617
hallucinatory states,"""no hallucinogens where in play but it has become a part of my mind and spirit.""",7.0,5-meo-dmt,0.09815799751415107,True,10.498176,24.432613,-20.558332
familiarity,"""the opening was smooth, familiar.""",8.0,5-meo-dmt,0.013892713639329137,True,-35.624443,-18.109066,7.9292936
cognitive impairments,"""it was the most arduous journey i have taken thus far.""",8.0,5-meo-dmt,0.4619878470526773,True,20.929747,-38.92538,35.29266
difficulty concentrating,"""it was the most arduous journey i have taken thus far.""",8.0,5-meo-dmt,0.04167814091798741,True,1.283155,-27.88892,14.498779
internal hallucinations,"""i felt the fire burn through me as it has been doing for a while.""",8.0,5-meo-dmt,0.07313760543286442,True,-11.111614,20.869291,-30.85174
transpersonal hallucinations,"""it was the confrontation of self in each lifetime.""",8.0,5-meo-dmt,0.11549696176316933,True,26.861591,18.144045,-25.994568
hallucinatory entities,"""it was the confrontation of self in each lifetime.""",8.0,5-meo-dmt,0.04593131248523872,True,-25.682732,19.634153,-16.812386
insight,"""a brutal look in the mirror of time from the start to the end.""",8.0,5-meo-dmt,0.08803766325376622,True,7.216981,23.95633,12.999021
history of self,"""a brutal look in the mirror of time from the start to the end.""",8.0,5-meo-dmt,0.006946356819664569,True,-41.30472,-7.050282,-2.5386097
personal history contemplation,"""a brutal look in the mirror of time from the start to the end.""",8.0,5-meo-dmt,0.006946356819664569,True,-42.85787,-5.6504493,-5.0997124
catharsis,"""it was brutal, taxing, beautiful and cathartic.""",8.0,5-meo-dmt,0.017715113747174084,True,-28.048422,-6.8028235,7.0315776
beauty,"""it was brutal, taxing, beautiful and cathartic.""",8.0,5-meo-dmt,0.041248914915417614,True,-21.909273,14.601269,23.938084
nausea,"""my stomach churned. i vomited. purging the old grease and grime from my spirit.""",8.0,5-meo-dmt,0.06430383747933423,True,12.124241,-23.198881,35.908905
vomiting,"""my stomach churned. i vomited. purging the old grease and grime from my spirit.""",8.0,5-meo-dmt,0.05557085455731655,True,6.36041,-28.261286,28.976316
feelings of bodily lightness,"""i feel lighter.""",8.0,5-meo-dmt,0.020839070458993705,True,-20.127853,-21.152985,4.2763577
derealization,"""i feel lighter.""",8.0,5-meo-dmt,0.2572153499173369,True,45.614403,22.938467,-0.57106674
centrality,"""centered.""",8.0,5-meo-dmt,0.006946356819664569,True,-39.351345,-21.45928,-6.2434287
inattention,"""centered.""",8.0,5-meo-dmt,0.027785427278658275,True,-8.144336,-13.921673,9.630472
music appreciation enhancement,"""in rhythm with my own song.""",8.0,5-meo-dmt,0.04862449773765198,True,-13.857618,-14.632468,-37.81556
immersion enhancement,"""in rhythm with my own song.""",8.0,5-meo-dmt,0.051662103954816345,True,-4.2123823,-27.06648,-32.0159
insight,"""understanding of the weight i no longer need to carry.""",8.0,5-meo-dmt,0.08803766325376622,True,7.216981,23.95633,12.999021
therapeutic effects,"""understanding of the weight i no longer need to carry.""",8.0,5-meo-dmt,0.005905037915724695,True,-59.630283,-10.201877,-18.578014
hangover,"""less weary.""",8.0,5-meo-dmt,0.05314534124152226,True,8.300245,-19.805231,21.64485
unity,"""whole.""",8.0,5-meo-dmt,0.15914500665103892,True,16.058935,40.20216,23.655537
interconnectedness,"""whole.""",8.0,5-meo-dmt,0.15575894267974025,True,41.999123,7.2129607,22.018293
internal hallucinations,"""after the initial dissolution i float or simply exist in darkness.""",9.0,5-meo-dmt,0.07313760543286442,True,-11.111614,20.869291,-30.85174
identity effects,"""after the initial dissolution i float or simply exist in darkness.""",9.0,5-meo-dmt,0.05314534124152226,True,0.596566,-0.1759975,-13.588169
insight,"""upon return to body i have a deep knowing it is not self-oriented and feel a sense of understanding and peace.""",9.0,5-meo-dmt,0.08803766325376622,True,1.1419827,20.567137,10.960987
peace,"""upon return to body i have a deep knowing it is not self-oriented and feel a sense of understanding and peace.""",9.0,5-meo-dmt,0.04649589355933471,True,-6.8418765,12.095374,21.031645
desire for more,"""but a longing to do more...to see and remember.""",9.0,5-meo-dmt,0.006946356819664569,True,-66.38483,-21.1977,-13.491541
increased significance of personal history,"""but a longing to do more...to see and remember.""",9.0,5-meo-dmt,0.01181007583144939,True,-38.326817,-36.56057,-9.680336
frustration,"""it feels a bit frustrating from an ego perspective.""",9.0,5-meo-dmt,0.013892713639329137,True,-37.585724,-15.044783,17.183657
insight,"""i came out knowing that my mission is to remove my last vice - nicotine.""",9.0,5-meo-dmt,0.08803766325376622,True,8.246257,21.621569,17.52409
increased suggestibility,"""i came out knowing that my mission is to remove my last vice - nicotine.""",9.0,5-meo-dmt,0.006946356819664569,True,-38.269222,-10.903419,-15.304127
optimism,"""i feel hopeful, optimistic.""",9.0,5-meo-dmt,0.005905037915724695,True,-50.6451,-18.585257,-3.672328
positive affect,"""i feel hopeful, optimistic.""",9.0,5-meo-dmt,0.0857670096124889,True,24.73969,-9.943403,6.129165
cognitive impairments,"""i feel blocked and i can't figure out what piece i need to figure out in there.""",9.0,5-meo-dmt,0.4619878470526773,True,20.929747,-38.92538,35.29266
tactile suppression,"""i don’t think i felt the probes in this experience.""",9.0,5-meo-dmt,0.006946356819664569,True,-44.51706,-11.274412,-31.877748
reduced tactile sensation appreciation,"""i don’t think i felt the probes in this experience.""",9.0,5-meo-dmt,0.006946356819664569,True,-46.908295,-10.895495,-28.04012
emotional intimacy,"""i went into a gentle tender space during my first round.""",10.0,5-meo-dmt,0.03299913193233409,True,-13.310992,-1.2707877,-17.733019
memory replays,"""i believe it was the womb. perhaps my own. perhaps my mother's.""",10.0,5-meo-dmt,0.04933716140163023,True,-16.883411,4.540704,-33.924362
philosophic contemplation,"""perhaps the womb of each and every mother that ever was.""",10.0,5-meo-dmt,0.05242073398923212,True,-24.826395,31.423677,4.3416553
thought connectivity,"""perhaps the womb of each and every mother that ever was.""",10.0,5-meo-dmt,0.013892713639329137,True,-31.800888,-15.864049,-1.8196496
cognitive enhancements,"""and the fire of cinnamon raised my consciousness back to the ground.""",10.0,5-meo-dmt,0.06599826386466819,True,10.518381,-19.516603,-22.389044
focus enhancement,"""and the fire of cinnamon raised my consciousness back to the ground.""",10.0,5-meo-dmt,0.05905037915724696,True,-0.97286856,-17.461966,-40.503082
internal hallucinations,"""imagery of the forest fire returned.""",10.0,5-meo-dmt,0.07313760543286442,True,-6.9218936,20.381487,-26.90271
unity,"""the fire was also me. burning freely. untamed. unbridled.""",10.0,5-meo-dmt,0.15914500665103892,True,21.999317,37.73118,25.486563
interconnectedness,"""the fire was also me. burning freely. untamed. unbridled.""",10.0,5-meo-dmt,0.15575894267974025,True,42.356438,-0.67139596,17.604914
philosophic contemplation,"""the fire is part of life - it is part of the beginning and the end.""",10.0,5-meo-dmt,0.05242073398923212,True,-24.826395,31.423677,4.3416553
intrapersonal hallucinations,"""i took 2 more rounds which resulted in more carving out of self.""",10.0,5-meo-dmt,0.006946356819664569,True,-48.0165,5.338428,-15.080235
humor enhancement,"""but i was left with the thought...holy cinnamon.""",10.0,5-meo-dmt,0.06495541707297164,True,8.252756,-20.093111,-35.287003
gustatory hallucinations,"""an aftertaste of pine came in at the end.""",10.0,5-meo-dmt,0.020664841581926538,True,-24.421219,-9.144865,-7.992973
memory replays,"""a memory that is both my own and part of something much bigger than my own concept of memory.""",10.0,5-meo-dmt,0.04933716140163023,True,-16.883411,4.540704,-33.924362
beauty,"""overall- shimmering. light. whole. beautiful. a radiant glow.""",11.0,j-a-pinene,0.07793558207759728,True,-1.9196388,20.626657,24.603828
immersion enhancement,"""round 1- i was making room for a developing cell mass inside me.""",11.0,j-a-pinene,0.29283069515850724,True,42.87124,9.008336,-21.608019
introspection,"""round 1- i was making room for a developing cell mass inside me.""",11.0,j-a-pinene,0.11156961779381794,True,-4.436463,26.543243,8.298594
cognitive impairments,"""round 2- if geraniol was the bark and fungus this is the leaves and the pine needles. these are the buds and flowers.""",11.0,j-a-pinene,0.3117423283103891,True,49.259098,-20.336557,-7.3701143
decreased cognitive abilities,"""round 2- if geraniol was the bark and fungus this is the leaves and the pine needles. these are the buds and flowers.""",11.0,j-a-pinene,0.13124426743572307,True,20.09732,-17.790354,-21.582806
tranquility,"""stillness, grounded and peaceful yet buzzing with energy of new promises.""",11.0,j-a-pinene,0.08678249067800599,True,4.369498,9.38322,24.645527
love,"""round 3- it was love and tenderness. for myself and for consciousness.""",11.0,j-a-pinene,0.21136688230605122,True,30.828518,29.600569,25.059685
cognitive impairments,"""for the earth. for the boy who is waiting to come down to us.""",11.0,j-a-pinene,0.3117423283103891,True,49.259098,-20.336557,-7.3701143
increased cognitive load,"""for the earth. for the boy who is waiting to come down to us.""",11.0,j-a-pinene,0.13124426743572307,True,17.576962,-14.713857,-22.254587
cognitive enhancements,"""but goodness that takes a lot of strength to face that reality and yet it is so exciting.""",11.0,j-a-pinene,0.15587116415519456,True,22.650629,-14.667129,-29.05799
hallucinatory entities,"""one girl to finish healing me- our little girl with us today. one boy to finish healing him.""",11.0,j-a-pinene,0.17356498135601198,True,20.428759,33.78278,-29.803453
love,"""round 4- love. a grounded love. peace. knowing and understanding.""",11.0,j-a-pinene,0.21136688230605122,True,30.828518,29.600569,25.059685
peace,"""round 4- love. a grounded love. peace. knowing and understanding.""",11.0,j-a-pinene,0.09761023171950241,True,-0.93728447,12.079936,26.471703
cognitive impairments,"""pine.""",11.0,j-a-pinene,0.3117423283103891,True,50.832302,-17.299862,-5.1914597
philosophic contemplation,"""final thoughts- reproducible but still up to interpretation in context of the recipient would be my assessment. perhaps stronger than the first time.""",11.0,j-a-pinene,0.11652186487138436,True,-12.792148,35.498188,-0.5062446
tactile hallucinations,"""the fire burned through me. my pelvis, my breasts, my forehead. it was warmth and life beginning again.""",12.0,j-cassia,0.196892423478455,True,12.60694,34.140736,-36.071938
hallucinatory states,"""the fire burned through me. my pelvis, my breasts, my forehead. it was warmth and life beginning again.""",12.0,j-cassia,0.11072922043027482,True,14.619336,29.465107,-23.7092
sensory effects,"""the second round i was immersed in a new sensation.""",12.0,j-cassia,0.1488837303538183,True,24.141617,-24.058134,-17.606207
internal hallucinations,"""i saw many creatures - an orca whale, small iridescent creatures, an octopus, kelp, etc.""",12.0,j-cassia,0.06029170181568402,True,-16.110083,22.200912,-28.824715
subjective effects,"""i have been in these depths before on a mushroom trip.""",12.0,j-cassia,0.06029170181568402,True,11.6196785,-26.58481,-3.6679647
jaw clenching,"""the third round was me. my jaw. my need to smile at myself.""",12.0,j-cassia,0.11072922043027482,True,8.690037,-4.1032453,24.248175
positive affect,"""the third round was me. my jaw. my need to smile at myself.""",12.0,j-cassia,0.31969995617922514,True,53.289917,1.3710145,-6.578789
insight,"""to let go of the things i take ownership of or attribute to being my fault and owning solely who i am.""",12.0,j-cassia,0.07257471050673132,True,2.0933652,28.492031,18.267357
unconscious content,"""to let go of the things i take ownership of or attribute to being my fault and owning solely who i am.""",12.0,j-cassia,0.1488837303538183,True,17.153605,19.361603,7.44784
positive affect,"""i need to smile more at myself.""",12.0,j-cassia,0.31969995617922514,True,53.289917,1.3710145,-6.578789
ego inflation,"""for my last round i asked to sit up and look at myself in the mirror.""",12.0,j-cassia,0.12656477281515213,True,29.740572,8.097844,-18.216684
personal meaning enhancement,"""for my last round i asked to sit up and look at myself in the mirror.""",12.0,j-cassia,0.1488837303538183,True,25.742762,19.864443,-8.7486725
positive affect,"""it was dark for a bit but when i came out there was more levity in my smile than there was before.""",12.0,j-cassia,0.31969995617922514,True,53.289917,1.3710145,-6.578789
essence amplification,"""a more authentic version of itself. not fully there yet but moving in the right direction.""",12.0,j-cassia,0.1768205257832173,True,28.23424,-1.6981199,-31.506378
identity effects,"""a more authentic version of itself. not fully there yet but moving in the right direction.""",12.0,j-cassia,0.12656477281515213,True,26.225843,-5.4318166,-10.978946
nervousness,"""i am nervous to write this one.""",13.0,j-geraniol,0.14518095214331447,True,24.094381,5.8370414,26.975515
cognitive effects,"""geraniol is unfolding. unfurling. uncurling. evolving.""",13.0,j-geraniol,0.1558744663636965,True,29.26745,-18.234953,-22.684206
essence amplification,"""it is melodic, playful, gentle, earthy, and grounding - it is mother.""",13.0,j-geraniol,0.17242295199537638,True,31.34174,0.29174817,-32.831577
interpersonal bonding,"""it is melodic, playful, gentle, earthy, and grounding - it is mother.""",13.0,j-geraniol,0.10797535509051655,True,2.0941958,10.705937,4.437128
cognitive enhancements,"""it understands it's relatives that i have visited before - high dose psilocybin, lsd, came to mind and also cassia, alpha-pinene.""",13.0,j-geraniol,0.2586344279930646,True,46.468967,-0.34731102,-26.464214
memory replays,"""it understands it's relatives that i have visited before - high dose psilocybin, lsd, came to mind and also cassia, alpha-pinene.""",13.0,j-geraniol,0.19334279071457952,True,15.94703,39.079033,2.6856647
unity,"""it was unifying. it made me more whole.""",13.0,j-geraniol,0.21230927411315584,True,28.37638,41.676613,24.479797
interconnectedness,"""it was unifying. it made me more whole.""",13.0,j-geraniol,0.21230927411315584,True,51.292934,8.612387,18.083982
internal hallucinations,"""i felt more of a visual image of a blossoming flower and buds as i came out.""",13.0,j-geraniol,0.11758446211872906,True,4.128165,25.89745,-34.615967
insight,"""it is not about control but about choice. perhaps it is time to make some hard choices.""",13.0,j-geraniol,0.14153951607543722,True,16.112076,23.84314,14.947159
philosophy enhancement,"""it is not about control but about choice. perhaps it is time to make some hard choices.""",13.0,j-geraniol,0.09599782811216245,True,10.805852,-9.7295065,-27.990202
essence amplification,"""i felt geraniol took me in further and let me out slower than the other two probes.""",13.0,j-geraniol,0.17242295199537638,True,31.34174,0.29174817,-32.831577
time dilation,"""i felt geraniol took me in further and let me out slower than the other two probes.""",13.0,j-geraniol,0.12341707305048612,True,-1.4435195,48.43161,6.5537086
nostalgia,"""i came back to some new feelings about the 42g psilocybin trip jack, and i did a few years back.""",13.0,j-geraniol,0.14518095214331447,True,21.024847,9.475737,21.059639
affective memory enhancement,"""i came back to some new feelings about the 42g psilocybin trip jack, and i did a few years back.""",13.0,j-geraniol,0.14518095214331447,True,18.713821,-18.532442,-29.786951
muscle tremors,"""subtle shaking during 3rd round. stretching and awareness of my deep back, pelvic and hip muscles that are tight on the 4th.""",13.0,j-geraniol,0.14518095214331447,True,17.099554,-6.0044208,17.43744
increased bodily awareness,"""subtle shaking during 3rd round. stretching and awareness of my deep back, pelvic and hip muscles that are tight on the 4th.""",13.0,j-geraniol,0.10797535509051655,True,5.2808566,9.307138,-5.453323
beauty,"""beautiful. geraniol has a lot more to offer. very multifaceted.""",13.0,j-geraniol,0.17242295199537638,True,18.806053,22.934729,28.592688
transpersonal hallucinations,"""greater space for evolution. so overall not replicate this time per se but i knew it to be the second step of experiencing this entity.""",13.0,j-geraniol,0.17242295199537638,True,28.639269,27.974123,-26.685354
color enhancement,"""light and bright colours. still more greens/yellows/white come to mind. no blue, purple, red, indigo or orange.""",13.0,j-geraniol,0.07076975803771861,True,6.487242,-12.760549,-39.092716
